Cube 0, exploration constant - 4, loss constant 30, on iteration 0, has children 37
Cube 0, exploration constant - 4, loss constant 30, on iteration 1, has children 38
Cube 0, exploration constant - 4, loss constant 30, on iteration 2, has children 37
Cube 0, exploration constant - 4, loss constant 30, on iteration 3, has children 40
Cube 0, exploration constant - 4, loss constant 30, on iteration 4, has children 38
Cube 0, exploration constant - 4, loss constant 30, on iteration 5, has children 39
Cube 0, exploration constant - 4, loss constant 30, on iteration 6, has children 36
Cube 0, exploration constant - 4, loss constant 30, on iteration 7, has children 38
Cube 0, exploration constant - 4, loss constant 30, on iteration 8, has children 36
Cube 0, exploration constant - 4, loss constant 30, on iteration 9, has children 38
Cube 0, exploration constant - 4, loss constant 30, on iteration 10, has children 35
Cube 0, exploration constant - 4, loss constant 30, on iteration 11, has children 35
Cube 0, exploration constant - 4, loss constant 30, on iteration 12, has children 37
Cube 0, exploration constant - 4, loss constant 30, on iteration 13, has children 36
Cube 0, exploration constant - 4, loss constant 30, on iteration 14, has children 36
Cube 0, exploration constant - 4, loss constant 30, on iteration 15, has children 37
Cube 0, exploration constant - 4, loss constant 30, on iteration 16, has children 24
Cube 0, exploration constant - 4, loss constant 30, on iteration 17, has children 34
Cube 0, exploration constant - 4, loss constant 30, on iteration 18, has children 38
Cube 0, exploration constant - 4, loss constant 30, on iteration 19, has children 35
Cube 0, exploration constant - 4, loss constant 30, on avg children %36.2
Cube 0, exploration constant - 4, loss constant 50, on iteration 0, has children 34
Cube 0, exploration constant - 4, loss constant 50, on iteration 1, has children 24
Cube 0, exploration constant - 4, loss constant 50, on iteration 2, has children 34
Cube 0, exploration constant - 4, loss constant 50, on iteration 3, has children 32
Cube 0, exploration constant - 4, loss constant 50, on iteration 4, has children 37
Cube 0, exploration constant - 4, loss constant 50, on iteration 5, has children 33
Cube 0, exploration constant - 4, loss constant 50, on iteration 6, has children 35
Cube 0, exploration constant - 4, loss constant 50, on iteration 7, has children 21
Cube 0, exploration constant - 4, loss constant 50, on iteration 8, has children 33
Cube 0, exploration constant - 4, loss constant 50, on iteration 9, has children 42
Cube 0, exploration constant - 4, loss constant 50, on iteration 10, has children 37
Cube 0, exploration constant - 4, loss constant 50, on iteration 11, has children 35
Cube 0, exploration constant - 4, loss constant 50, on iteration 12, has children 38
Cube 0, exploration constant - 4, loss constant 50, on iteration 13, has children 35
Cube 0, exploration constant - 4, loss constant 50, on iteration 14, has children 35
Cube 0, exploration constant - 4, loss constant 50, on iteration 15, has children 24
Cube 0, exploration constant - 4, loss constant 50, on iteration 16, has children 34
Cube 0, exploration constant - 4, loss constant 50, on iteration 17, has children 34
Cube 0, exploration constant - 4, loss constant 50, on iteration 18, has children 38
Cube 0, exploration constant - 4, loss constant 50, on iteration 19, has children 34
Cube 0, exploration constant - 4, loss constant 50, on avg children %33.45
Cube 0, exploration constant - 4, loss constant 70, on iteration 0, has children 33
Cube 0, exploration constant - 4, loss constant 70, on iteration 1, has children 38
Cube 0, exploration constant - 4, loss constant 70, on iteration 2, has children 33
Cube 0, exploration constant - 4, loss constant 70, on iteration 3, has children 33
Cube 0, exploration constant - 4, loss constant 70, on iteration 4, has children 41
Cube 0, exploration constant - 4, loss constant 70, on iteration 5, has children 40
Cube 0, exploration constant - 4, loss constant 70, on iteration 6, has children 42
Cube 0, exploration constant - 4, loss constant 70, on iteration 7, has children 36
Cube 0, exploration constant - 4, loss constant 70, on iteration 8, has children 32
Cube 0, exploration constant - 4, loss constant 70, on iteration 9, has children 33
Cube 0, exploration constant - 4, loss constant 70, on iteration 10, has children 33
Cube 0, exploration constant - 4, loss constant 70, on iteration 11, has children 38
